titles	ratio
«Кавардак в Риме»	0,001650165016502
«О марте. Об апреле. О мае. Об июне и июле. Об августе»	0,001186943620178
«Свидание хотя и состоялось, но…»	0,000742390497402
75 000	0,002886002886003
Mari d’Elle	0,002807017543860
Актерская гибель	0,001764705882353
Анюта	0,000860585197935
Библиография	0,007633587786260
Благодарный	0,003262642740620
Брак по расчету	0,000877192982456
Брак через 10–15 лет	0,003740648379052
Бумажник	0,009102730819246
В аптеке	0,001821493624772
В бане	0,003668042182485
В вагоне	0,001386962552011
В Москве на Трубной площади	0,000889679715302
В цирульне	0,005773672055427
Ванька	0,002766251728907
Верба	0,000916590284143
Весь в дедушку	0,001883239171375
Вор	0,001923076923077
Встреча весны	0,001117318435754
Гадальщики и гадальщицы	0,003906250000000
Глупый француз	0,001094091903720
Горе	0,000634920634921
Господа обыватели	0,002190580503834
Гость	0,001829826166514
Гусиный разговор	0,005291005291005
Два письма	0,006479481641469
Два скандала	0,000638977635783
Двадцать девятое июня	0,001041666666667
Двадцать шесть	0,002881844380403
Двое в одном	0,001689189189189
Депутат, или Повесть о том, как у Дездемонова 25 рублей пропало	0,001095290251917
Детвора	0,005509641873278
Добродетельный кабатчик	0,006342494714588
Дорогая собака	0,002936857562408
Дочь коммерции советника	0,001024590163934
Дура, или Капитан в отставке	0,006476683937824
Егерь	0,000792393026941
Единственное средство	0,008163265306122
Женщина без предрассудков	0,000949667616334
Жены артистов	0,002170374389582
Жизнь в вопросах и восклицаниях	0,003355704697987
За яблочки	0,000561167227834
Завещание старого, 1883-го года	0,007168458781362
Зеленая Коса	0,000232288037166
Зеркало	0,000840336134454
Знакомый мужчина	0,003952569169960
И то и се. <Письма и телеграммы>	0,003159557661927
Иван Матвеич	0,001346801346801
Идиллия – увы и ах!	0,003350083752094
Из дневника одной девицы	0,003389830508475
Исповедь	0,003125000000000
К характеристике народов	0,004210526315789
Капитанский мундир	0,005681818181818
Корреспондент	0,000215936082919
Который из трех?	0,002855511136493
Кривое зеркало	0,001231527093596
Летающие острова	0,001124859392576
Лошадиная фамилия	0,001095290251917
Марья Ивановна	0,001221001221001
Мелюзга	0,001076426264801
Месть	0,001700680272109
Месть женщины	0,006426735218509
Мои жены	0,000489236790607
Мой разговор с почтмейстером	0,005370569280344
Мой юбилей	0,003571428571429
Моя беседа с Эдисоном	0,005089058524173
На гулянье в Сокольниках	0,001706484641638
На кладбище	0,001658374792703
На магнетическом сеансе	0,003081664098613
Надул	0,022471910112360
Начальник станции	0,001153402537486
Не в духе	0,001972386587771
Оба лучше	0,000767459708365
Опекун	0,003911342894394
Осенью	0,002442002442002
Отец семейства	0,002705139765555
Открытие	0,001018329938900
Отрава	0,004366812227074
Папаша	0,000593119810202
Первый дебют	0,001265022137887
Перед свадьбой	0,001370801919123
Переполох	0,000976562500000
Персона	0,000994035785288
Писатель	0,004175365344468
Письмо к ученому соседу	0,000753579502638
По-американски	0,003944773175542
После бенефиса	0,000853242320819
Пропащее дело	0,004669260700389
Раз в год	0,000998003992016
Разговор человека с собакой	0,001821493624772
Размазня	0,006237006237006
Репетитор	0,001317523056653
Руководство для желающих жениться	0,002680965147453
Русский уголь	0,003252032520325
Ряженые	0,002469135802469
Салон де варьете	0,000994035785288
Самообольщение	0,002666666666667
Свадьба с генералом	0,001268230818009
Святая простота	0,002721088435374
Сельские эскулапы	0,000732600732601
Симулянты	0,003021148036254
Сказки Мельпомены	0,002911813643927
Скверная история. Нечто романообразное	0,000391849529781
Слова, слова и слова	0,001424501424501
Служебные пометки	0,006191950464396
Случаи mania grandiosa[108 - Мания величия (лат.).]	0,003267973856209
Случай из судебной практики	0,001515151515152
Совет	0,005089058524173
Современные молитвы	0,002941176470588
Сон репортера	0,003942181340342
Сонная одурь	0,000884173297966
Средство от запоя	0,001919385796545
Старость	0,004922644163150
Стража под стражей	0,001700680272109
Суд	0,011121408711770
Счастливчик	0,002255639097744
Темпераменты	0,000960614793468
Трагик	0,002857142857143
Утопленник	0,002181025081788
Шампанское	0,004115226337449
Шведская спичка	0,000186393289842
Экзамен	0,004237288135593
Язык до Киева доведет	0,005617977528090
Ярмарка	0,001199040767386
